course_id,stage_id,lesson_id,order,lesson_title,student_question,why_now,learning_goal,outcomes,practice,interaction,assessment,atlas_refs,tool_refs,prerequisites,next_lesson,source_status,content_status,reviewer_status
vibe-coding-foundation,D1_first_success,d1-first-success,1,첫 성공 — AI와 함께 결과물을 실행하기,바이브코딩이란?|AI에게 요청하면 왜 파일이 생기나?|왜 Node와 터미널이 필요하나?,이론 전에 작은 성공을 경험하고 이후 학습 환경을 준비한다,AI로 작은 결과물을 만들고 수정하며 로컬에서 실행 확인을 시작한다,O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13,content/practice/vibe-coding-foundation/01-first-success-practice.md,content/interactions/vibe-coding-foundation/01-first-success-interaction-spec.md,content/assessment/vibe-coding-foundation/01-first-success-assessment.md,ai;llm,browser;vscode;nodejs;npm;terminal,none,d2-tbd,partial,drafting,not_started
vibe-coding-foundation,D1_first_success,project-file-structure,2,AI가 만든 프로젝트 파일 구조 읽기,어떤 파일을 수정해야 하나?|src와 package.json은?,Day1 직후 구조를 읽을 수 있어야 한다,프로젝트 트리를 읽고 수정 위치를 찾는다,O-pfs,content/practice/vibe-coding-foundation/02-project-file-structure-practice.md,content/interactions/,content/assessment/vibe-coding-foundation/02-project-file-structure-assessment.md,ai,vscode;nodejs,d1-first-success,node-npm-tbd,partial,drafting,not_started
vibe-coding-foundation,D1_first_success,node-npm-package-json,3,Node와 npm은 왜 설치하고 실행할까요?,왜 npm install과 run dev를 치나?,package.json 명령을 읽을 수 있어야 한다,scripts를 읽고 실행과 오류를 진단한다,O-nn,content/practice/vibe-coding-foundation/03-node-npm-package-json-practice.md,,content/assessment/,ai;llm,nodejs;npm,project-file-structure,ai-llm-ide,partial,live,pass
vibe-coding-foundation,track-a,ai-llm-ide,4,AI·LLM·IDE 구분,AI와 LLM은 같은가?,실행 후 용어 정리,생성≠저장/실행 구분,O-a04,,,ai;llm,vscode;ai-ide,node-npm-package-json,terminal-commands,partial,live,pass
vibe-coding-foundation,track-a,terminal-commands,5,터미널과 명령어,명령어는 무엇인가?,실행 환경,cwd·명령 기본,O-a05,,,ai,terminal,ai-llm-ide,errors-to-ai,partial,live,pass
vibe-coding-foundation,track-a,errors-to-ai,6,오류를 AI에게 전달,무엇을 붙여 넣나?,디버그 습관,맥락+오류+분석,O-a06,,,ai,terminal;ai-ide,terminal-commands,web-how-pages-appear,partial,live,pass
vibe-coding-foundation,track-b,web-how-pages-appear,7,웹이 화면에 나타나는 원리,화면은 어떻게 생기나?,원리 입문,브라우저 로드 모델,O-b01,,,ai,browser,errors-to-ai,html-basics,partial,live,pass
vibe-coding-foundation,track-b,html-basics,8,HTML 기초,뼈대는?,레이어,HTML 역할,O-b02,,,ai,html,web-how-pages-appear,css-basics,partial,live,pass
vibe-coding-foundation,track-b,css-basics,9,CSS 기초,스타일은?,레이어,CSS 역할,O-b03,,,ai,css,html-basics,javascript-basics,partial,live,pass
vibe-coding-foundation,track-b,javascript-basics,10,JavaScript 기초,동작은?,레이어,JS 역할,O-b04,,,ai,javascript,css-basics,files-connect,partial,live,pass
vibe-coding-foundation,track-b,files-connect,11,파일이 서로 연결되는 방식,link/script는?,합치기,참조 연결,O-b05,content/practice/vibe-coding-foundation/11-files-connect-practice.md,,content/assessment/vibe-coding-foundation/11-15-batch3-assessment.md,context,html;css;javascript,javascript-basics,frontend,verified,live,pass
vibe-coding-foundation,track-b,frontend,12,Frontend,FE는?,역할명,브라우저 UI,O-b06,,,context,browser,files-connect,backend,verified,live,pass
vibe-coding-foundation,track-b,backend,13,Backend,BE는?,역할명,서버 쪽 처리,O-b07,,,context,nodejs,frontend,api,verified,live,pass
vibe-coding-foundation,track-b,api,14,API,API는?,창구,요청·응답,O-b08,,,context;tool,http,backend,database,verified,live,pass
vibe-coding-foundation,track-b,database,15,Database 필요성,왜 저장소?,지속성,남는 데이터,O-b09,,,context,database,api,good-ai-task-request,verified,live,pass
